Name,MeanAnnPrismPrcp81_10_v07122019_mm,prism_in,wy81_10_calb_in,prism_adj,scale_wint,scale_summ,scale_paf
MBON2HLF,400.190364,15.76,17.50,0.9016,1.31,1.61,-0.409
MBON2HUF,709.367087,27.93,30.31,0.9256,1.61,2.3,-0.684
MCNC1LOF,612.621005,24.12,23.64,1.0270,1.12,0.99,-0.093
MDCN2HLF,433.404274,17.06,17.19,1.0017,1.75,1.5,-0.748
MDCN2HUF,660.097144,25.99,25.16,1.0380,1.94,1.9,-0.902
MDSC1LOF,366.810753,14.44,13.34,1.0874,1.28,1.12,-0.193
MEEC1LOF,344.74817,13.57,14.42,0.9458,1.23,1.08,-0.284
MFAC1LOF,1363.33625,53.67,54.79,0.9848,1.1,1.07,-0.115
MFPC1LLF,1588.968124,62.56,64.34,0.9776,,,
MFPC1LUF,1690.280188,66.55,72.16,0.9278,,,
MFTC1LLF,511.481576,20.14,20.00,1.0163,1.07,1.03,-0.054
MFTC1LUF,691.062995,27.21,26.85,1.0231,1.13,1.16,-0.107
MHBC1LOF,853.849572,33.62,35.61,0.9530,1.14,1.02,-0.187
MHSN2LLF,308.121228,12.13,11.77,1.0317,1.18,1.47,-0.148
MHSN2LUF,562.335153,22.14,21.01,1.0587,1.66,1.7,-0.601
MLMC1HLF,1208.03157,47.56,44.27,1.0735,1.02,1,0.054
MLMC1HUF,1966.892355,77.44,69.64,1.1129,1.16,0.98,-0.047
MLPC1HLF,680.56976,26.79,27.09,0.9929,1.22,1.04,-0.227
MLPC1HUF,946.048239,37.25,38.48,0.9721,1.41,1.04,-0.438
MMCC1HLF,1390.197595,54.73,55.03,0.9957,1.18,1.09,-0.184
MMCC1HUF,1398.998468,55.08,57.41,0.9578,1.17,1.12,-0.212
MPAC1HOF,638.62131,25.14,26.48,0.9549,1.17,1.05,-0.215
MPTC1HOF,611.679284,24.08,24.04,1.0041,1.21,1.05,-0.206
MRMC1LLF,1465.275113,57.69,55.84,1.0410,1,1,0.041
MRMC1LUF,1471.698231,57.94,57.28,1.0210,1.03,1.05,-0.009
MRNC1LOF,1792.945389,70.59,67.55,1.0433,1.08,0.94,-0.037
MRYC1LOF,783.910495,30.86,30.90,1.0063,1.24,1.05,-0.234
MSGC1LOF,526.501108,20.73,21.59,0.9662,1.28,1.08,-0.314
MSSC1LLF,1702.19037,67.02,67.80,0.9871,1.03,1.03,-0.043
MSSC1LUF,1735.382125,68.32,61.44,1.1129,1.01,1.06,0.103
MSYC1HLF,359.279863,14.14,18.17,0.7770,,,
MSYC1HUF,563.427871,22.18,27.96,0.7920,,,
MTOC1LOF,2524.92146,99.41,79.65,1.2449,1.21,1.08,0.035
MTSC1HLF,633.528924,24.94,32.36,0.7823,1.23,1.09,-0.448
MTSC1HUF,939.899056,37,35.46,1.0616,1.2,1.04,-0.138
MUPC1HOF,1128.166959,44.42,51.26,0.8709,1.24,1.12,-0.369
MUTC1HOF,370.975321,14.61,12.77,1.1425,1.14,1,0.002
MVVC1LOF,233.628728,9.2,9.65,0.9510,1.58,1,-0.629
MWEC1LOF,938.620498,36.95,37.96,0.9774,,,
MWXC1LOF,300.965236,11.85,13.45,0.8790,1.2,1,-0.321
NACC1LOF,548.877376,21.61,19.05,1.1415,0.94,0.96,0.202
NBBC1LLF,1715.65545,67.55,75.78,0.9023,1.11,1.1,-0.208
NBBC1LUF,1894.462516,74.59,74.45,1.0142,0.97,1.01,0.044
NBYC1HOF,667.187318,26.27,23.61,1.1203,1.04,0.95,0.08
NCOC1LOF,574.725222,22.63,21.54,1.0561,1.16,1.05,-0.104
NDPC1LLF,922.946492,36.34,36.97,0.9931,1.2,1.05,-0.207
NDPC1LMF,1214.985706,47.83,44.59,1.0875,1.08,1.03,0.008
NDPC1LUF,1430.578001,56.32,54.35,1.0504,1.15,1.04,-0.1
NDVC1HMF,1466.809645,57.75,58.44,0.9961,,,
NDVC1HUF,1599.447927,62.97,60.42,1.0506,,,
NFDC1HLF,1424.089866,56.07,56.29,1.0031,1.11,1.06,-0.107
NFDC1HUF,1778.278255,70.01,65.72,1.0703,1.09,1.13,-0.02
NFEC1LLF,992.648045,39.08,45.48,0.8649,1.15,1.02,-0.285
NFEC1LUF,1224.549378,48.21,50.84,0.9537,1.16,1.04,-0.206
NHGC1HOF,877.24859,34.54,36.62,0.9485,1.19,1.03,-0.242
NILC1LOF,549.798889,21.65,18.93,1.1486,1.12,1.08,0.028
NMFC1HLF,1533.82346,60.39,62.06,0.9800,1.09,1.08,-0.11
NMFC1HUF,1726.834543,67.99,67.46,1.0151,1.09,1.21,-0.075
NMSC1LLF,1004.343954,39.54,40.85,0.9754,1.13,1.01,-0.155
NMSC1LMF,1341.798291,52.83,47.27,1.1261,1.02,1.02,0.106
NMSC1LUF,1539.457022,60.61,53.60,1.1395,1.12,0.99,0.02
NRWC1LOF,557.109025,21.93,19.78,1.1072,0.96,1,0.147
NSWC1HMF,1421.086818,55.95,54.95,1.0269,,,
NSWC1HUF,1552.89954,61.14,59.20,1.0415,,,
NVRC1HOF,1235.559224,48.64,42.10,1.1618,0.94,0.98,0.222
OBBC1LOF,509.049657,20.04,13.59,1.4784,,,
ONSC1LLF,1876.627018,73.88,71.21,1.0408,0.97,1.13,0.071
ONSC1LUF,2455.027337,96.65,82.33,1.1777,1.19,1.17,-0.012
ORDC1LLF,1612.082503,63.47,64.86,0.9870,1.05,1.02,-0.063
ORDC1LUF,1987.072962,78.23,83.14,0.9468,1.04,1,-0.093
OREC1HOF,441.271402,17.37,19.01,0.9190,0.92,1.01,-0.001
ORFC1LOF,725.548404,28.56,26.71,1.0652,1.07,1.04,-0.005
ORIC1LOF,2050.336475,80.72,68.80,1.1748,1.04,1.12,0.135
OURC1LLF,1608.31076,63.32,68.68,0.9301,1.13,1.07,-0.2
OURC1LUF,1803.810392,71.02,68.67,1.0469,1.07,1.05,-0.023
OWCC1HOF,486.923471,19.17,20.29,0.9502,1.38,1.11,-0.43
PALN2LLF,306.173589,12.05,12.33,0.9841,1.37,1.35,-0.386
PALN2LUF,471.344592,18.56,16.50,1.1340,1.29,1.54,-0.156
PCGC1HOF,1163.285734,45.8,46.24,0.9963,1.06,1.02,-0.064
PCNC1HLF,346.816357,13.65,10.82,1.2598,1.11,1,0.15
PCNC1HUF,560.972496,22.09,15.70,1.3990,1.05,1,0.349
PFTC1HLF,762.027374,30,30.56,0.9882,1.12,1,-0.132
PFTC1HMF,1045.544402,41.16,39.52,1.0482,1.22,1.04,-0.172
PFTC1HUF,1072.192908,42.21,39.21,1.0825,1.14,1.03,-0.057
PHOC1HOF,513.374719,20.21,15.48,1.3122,0.89,0.98,0.422
PIIC1HOF,457.731041,18.02,20.26,0.8971,1.51,1.05,-0.613
PITC1LLF,813.194847,32.02,34.04,0.9428,1.29,1.21,-0.347
PITC1LUF,739.930363,29.13,32.55,0.8976,1.05,0.98,-0.152
PLBC1HLF,1324.68089,52.15,54.05,0.9670,1.12,1.07,-0.153
PLBC1HUF,1528.042928,60.16,54.94,1.0987,1.04,0.98,0.059
PLGC1LLF,1480.703869,58.3,54.15,1.0826,0.97,1.02,0.113
PLGC1LUF,1766.203417,69.54,60.02,1.1624,0.98,1.03,0.182
PLLC1HLF,926.176994,36.46,34.78,1.0564,1.06,1.02,-0.003
PLLC1HUF,1193.777269,47,44.59,1.0599,1.11,0.99,-0.05
PLYC1HLF,388.8326,15.31,16.62,0.9215,1.6,1.23,-0.679
PLYC1HUF,596.066739,23.47,23.20,1.0147,1.74,1.34,-0.725
PNEC1HOF,335.656446,13.21,12.42,1.0729,1.19,1.04,-0.117
POHC1LLF,1027.817878,40.47,39.53,1.0371,1.02,1.03,0.017
POHC1LMF,1140.754544,44.91,44.39,1.0224,1.07,1.03,-0.048
POHC1LUF,1353.735784,53.3,46.69,1.1535,1.07,1.03,0.083
PRBC1HOF,617.57846,24.31,22.96,1.0623,1.1,0.99,-0.038
PSRC1HLF,664.999999,26.18,33.94,0.7821,1.42,1.2,-0.638
PSRC1HUF,1082.408609,42.61,51.37,0.8407,1.43,1.24,-0.589
PTTC1HOF,430.062398,16.93,15.18,1.1213,1.05,1.07,0.071
PYMC1HOF,534.473211,21.04,17.74,1.1915,0.72,0.94,0.472
RBBC1HOF,1453.097852,57.21,56.80,1.0132,1.17,1.18,-0.157
RCVC1HOF,875.2957,34.46,36.79,0.9390,1.17,1.2,-0.231
RDGC1LOF,1499.348675,59.03,61.94,0.9542,1.29,1.07,-0.336
RDRC1HOF,749.184689,29.5,25.32,1.1742,0.79,0.97,0.384
RIPC1LOF,369.025,14.53,13.59,1.0719,1.21,1.07,-0.138
RMKC1HOF,1181.578467,46.52,47.50,0.9853,,,0.985
RMSC1LOF,837.481257,32.97,35.81,0.9252,1.29,1.05,-0.365
ROCN2HLF,301.204715,11.86,11.68,1.0243,1.25,1.21,-0.226
ROCN2HUF,545.960783,21.49,18.75,1.1541,1.29,1.61,-0.136
ROLC1HLF,1560.096202,61.42,61.33,1.0076,1.05,1.09,-0.042
ROLC1HUF,1772.788574,69.79,70.30,0.9988,1.05,1.09,-0.051
RRGC1LOF,1513.961962,59.6,51.72,1.1614,1.01,1.16,0.152
RUFC1LLF,1429.24087,56.27,60.79,0.9303,1.1,1.09,-0.17
RUFC1LUF,1599.936933,62.99,56.82,1.1140,1,0.99,0.114
SACC1LOF,585.957194,23.07,22.29,1.0411,1.12,1.05,-0.079
SAMC1LOF,560.817769,22.08,19.59,1.1350,1.05,1.05,0.085
SBRC1HLF,1386.63938,54.59,54.69,1.0017,0.97,1.13,0.032
SBRC1HUF,1649.319552,64.93,60.19,1.0839,1.08,1.04,0.004
SCBC1HLF,1104.529738,43.49,48.61,0.9010,1.1,1.05,-0.199
SCBC1HUF,1322.08687,52.05,57.66,0.9118,1.25,1.11,-0.338
SCNO3HLF,468.061456,18.43,22.61,0.8190,1.43,1.11,-0.611
SCNO3HUF,687.980393,27.09,26.34,1.0322,1.43,1.39,-0.398
SCOC1LOF,1665.09476,65.55,60.72,1.0804,1.06,0.95,0.021
SCPC1LOF,445.775207,17.55,18.12,0.9731,1.16,1,-0.187
SCRN2LLF,374.631276,14.75,15.57,0.9579,0.93,1.12,0.028
SCRN2LUF,1008.294508,39.7,36.77,1.0911,1.39,1.12,-0.299
SCSC1LLF,560.536973,22.07,23.01,0.9610,1.21,1.09,-0.249
SCSC1LMF,1035.879771,40.78,42.98,0.9534,1.12,1.09,-0.166
SCSC1LUF,1218.501166,47.97,50.48,0.9547,1.06,1.07,-0.105
SCWN2LLF,291.372253,11.47,11.66,0.9925,,,0.993
SCWN2LUF,749.64674,29.51,24.68,1.2086,,,1.209
SDDC1LOF,376.421062,14.82,15.14,0.9877,1.38,1.11,-0.392
SEIC1LLF,743.87053,29.29,30.14,0.9741,1.04,1.08,-0.066
SEIC1LUF,1413.183678,55.64,50.90,1.0943,1.3,1.48,-0.206
SESC1HOF,832.373028,32.77,21.17,1.5482,0.88,0.97,0.668
SFCC1HOF,791.858028,31.18,32.15,0.9747,1.07,1.04,-0.095
SFYC1HLF,1581.518,62.26,55.63,1.1210,0.91,0.94,0.211
SFYC1HUF,1917.365513,75.49,59.50,1.2708,1,0.94,0.271
SGEC1LLF,825.186883,32.49,28.83,1.1277,0.91,1.08,0.218
SGEC1LUF,1507.695728,59.36,51.53,1.1543,1.01,1.1,0.144
SGNC1HOF,988.500002,38.92,43.56,0.9028,1.52,1.2,-0.617
SHDC1LOF,1778.840184,70.03,70.29,0.9975,1.14,0.98,-0.142
SHEC1HOF,1057.267076,41.62,41.67,1.0105,1.02,1.01,-0.009
SHRC1LOF,502.887591,19.8,19.00,1.0406,1.24,1,-0.199
SKPC1HOF,1116.911529,43.97,44.94,0.9845,1.29,1.07,-0.305
SKRC1HLF,370.916809,14.6,17.26,0.8460,,,0.846
SKRC1HMF,499.827812,19.68,18.89,1.0424,,,1.042
SKRC1HUF,554.620761,21.84,20.34,1.0777,,,1.077
SLOC1LOF,379.947219,14.96,13.65,1.0971,1.12,1,-0.023
SLUC1HOF,582.370293,22.93,19.37,1.1812,1.06,1.01,0.121
SMHC1LOF,405.673195,15.97,12.90,1.2351,0.96,1,0.275
SNRC1LOF,414.802177,16.33,17.75,0.9261,1.5,1.04,-0.574
SOLC1HOF,791.210746,31.15,26.84,1.1678,0.98,0.96,0.188
SOSC1HLF,1197.460659,47.14,48.67,0.9777,1.14,1.03,-0.162
SOSC1HUF,1361.843647,53.62,50.85,1.0646,0.99,1.09,0.075
SPRC1LOF,410.733648,16.17,15.18,1.0678,1.05,1.01,0.018
SREC1LLF,504.181941,19.85,23.22,0.8534,1.33,1,-0.477
SREC1LUF,1028.598567,40.5,36.90,1.0976,1.75,1,-0.653
SRWC1HLF,647.015644,25.47,27.62,0.9230,1.44,1.18,-0.517
SRWC1HUF,874.090685,34.41,31.48,1.0906,1.46,1,-0.369
SSAC1HOF,955.448445,37.62,39.54,0.9566,,,0.956
SSQC1HOF,646.088288,25.44,23.42,1.0836,1.02,1.01,0.063
STPC1LLF,659.437098,25.96,32.75,0.7998,1.36,1.09,-0.56
STPC1LUF,1026.306223,40.41,44.39,0.9198,1.21,1.09,-0.29
STVC1LOF,364.051245,14.33,13.61,1.0584,1.32,1.15,-0.261
STWN2LLF,406.131498,15.99,15.68,1.0326,1.18,0.98,-0.147
STWN2LUF,720.588314,28.37,27.32,1.0499,1.5,1.08,-0.45
SUAC1LOF,1790.638769,70.5,69.43,1.0257,1.08,1.07,-0.054
SUSC1HLF,733.230963,28.87,31.29,0.9262,1.22,1.17,-0.294
SUSC1HUF,925.130373,36.42,34.92,1.0448,1.26,1.22,-0.215
SVCC1LLF,1372.079307,54.02,55.54,0.9811,1.12,1.1,-0.139
SVCC1LUF,1466.604272,57.74,55.00,1.0590,1.08,1.06,-0.021
SVIC1HOF,436.611875,17.19,17.11,1.0031,1.21,1,-0.207
SVWC1HOF,767.049342,30.2,35.61,0.8473,1.47,1.17,-0.623
TAHC1HOF,878.998827,34.61,38.66,0.9043,1.21,1.05,-0.306
TCCC1HLF,1487.590448,58.57,60.71,0.9649,,,0.965
TCCC1HUF,1579.596641,62.19,64.00,0.9719,,,0.972
TCRC1HLF,926.230883,36.47,42.72,0.8514,1.29,1.24,-0.439
TCRC1HUF,1401.243981,55.17,65.46,0.8403,1.57,1.33,-0.73
TEHC1LLF,773.614231,30.46,29.28,1.0375,1.05,1.02,-0.013
TEHC1LUF,1629.596109,64.16,54.64,1.1740,1.11,1.11,0.064
TEKC1HOF,457.200064,18,20.65,0.8722,1.43,1,-0.558
TESC1HOF,436.610842,17.19,17.17,1.0097,1.38,1.07,-0.37
THTC1LOF,614.910803,24.21,24.87,0.9808,1.59,1.15,-0.609
TIMC1HOF,425.240314,16.74,18.28,0.9145,1.45,1,-0.535
TMDC1LLF,678.512544,26.71,27.39,0.9753,1.23,1.03,-0.255
TMDC1LMF,995.788441,39.2,40.00,0.9834,1.31,1.04,-0.326
TMDC1LUF,1031.637705,40.62,36.84,1.1065,1.1,1,0.006
TRCC1LOF,1289.889096,50.78,50.23,1.0220,1.15,1.08,-0.128
TRJC1LLF,1071.231244,42.17,42.16,1.0022,0.96,1,0.042
TRJC1LUF,1645.86961,64.8,57.90,1.1225,1.29,1.1,-0.168
TRRN2LLF,368.162847,14.49,13.80,1.0583,0.83,1.18,0.229
TRRN2LUF,706.484327,27.81,27.19,1.0365,1.3,1.11,-0.263
TSLC1HOF,314.312607,12.37,15.07,0.8215,1.17,1,-0.348
TVRC1HLF,661.123032,26.03,27.47,0.9495,,,0.949
TVRC1HMF,965.728226,38.02,39.93,0.9570,,,0.957
TVRC1HUF,1227.247998,48.32,50.94,0.9530,,,0.953
TWDC1LOF,521.395263,20.53,17.77,1.1523,0.76,0.94,0.392
UKAC1HOF,1199.198317,47.21,45.57,1.0406,0.98,1.02,0.061
UNVC1HLF,1417.848708,55.82,52.83,1.0658,1.05,1.06,0.016
UNVC1HUF,1345.448561,52.97,51.75,1.0332,1.06,1.16,-0.027
VCAC1LOF,578.877951,22.79,18.93,1.2079,,,1.208
VISN2LOF,222.904722,8.78,8.92,0.9920,1.2,1.12,-0.208
VLKC1LOF,372.980045,14.68,17.80,0.8245,1.49,1,-0.665
VRVC1HOF,798.219809,31.43,23.08,1.3622,0.94,0.97,0.422
VWBC1LOF,700.308109,27.57,26.45,1.0384,1.06,1.13,-0.022
WARC1HOF,534.032114,21.02,17.15,1.2368,1.2,1.08,0.037
WBGC1HLF,1864.368948,73.4,78.63,0.9375,1.14,1.23,-0.202
WBGC1HUF,2004.165394,78.9,84.57,0.9361,1.12,1.19,-0.184
WFMC1LOF,519.007986,20.43,31.78,0.6423,1.43,1.04,-0.788
WHSC1HOF,1493.726215,58.81,65.89,0.8984,1.21,1.03,-0.312
WIPC1HLF,420.71486,16.56,16.93,0.9774,,,0.978
WIPC1HUF,789.067932,31.07,30.29,1.0242,,,1.024
WKAO3HLF,630.231064,24.81,23.43,1.0666,1.08,0.98,-0.013
WKAO3HUF,903.487952,35.57,34.57,1.0371,1.24,1.14,-0.203
WMSO3LLF,584.859131,23.03,22.06,1.0476,1.19,1.04,-0.143
WMSO3LUF,799.434226,31.47,30.02,1.0533,1.52,1.19,-0.467
WOOC1HOF,1090.111962,42.92,47.61,0.9093,1.23,1.16,-0.321
WSDC1HOF,1381.481578,54.39,49.93,1.0981,0.97,1.1,0.128
WWBC1HLF,711.676186,28.02,29.04,0.9738,1.05,1.25,-0.076
WWBC1HUF,1099.987465,43.31,42.80,1.0212,1.12,1.15,-0.099
WWHN2LLF,280.99681,11.06,16.43,0.6851,1.18,1.25,-0.495
WWHN2LUF,633.004145,24.92,27.70,0.9052,1.63,1.06,-0.725
WWIC1LLF,186.53562,7.34,9.46,0.7716,1.22,1,-0.448
WWIC1LUF,534.104333,21.03,28.51,0.7331,1.71,1,-0.977
YDRC1LOF,454.271322,17.88,13.35,1.3407,1.17,1,0.171
YREC1HLF,608.443703,23.95,21.66,1.1132,1.05,1.17,0.063
YREC1HUF,1053.054109,41.46,32.10,1.2999,1.13,1.26,0.17
YTLC1LOF,798.001898,31.42,29.43,1.0653,1.28,1.11,-0.215
YUBC1LOF,742.966222,29.25,29.98,0.9824,1.15,1.06,-0.168
,,,,,,,
,,,,,,,
,,,,1.0180,,,
,,,,1.5480,,,
,,,,0.6260,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,1.0130,,,
,,,,1.5480,,,
